Lat_Deg,Lat_Min,Lat_Sec,Lon_Deg,Lon_Min,Lon_Sec
54,4,38.23,-110,56,34.4
54,16,42.97,-111,17,28.66
54,30,28.09,-112,58,16.92
54,50,48.46,-113,6,48.84
54,5,45.53,-114,45,19.02
54,53,17.8,-115,50,31.94
54,1,34.51,-116,15,31.28
54,45,18.55,-118,3,18.1
54,59,55.05,-119,7,45.29
55,22,3.8,-112,37,4.99
55,28,33.5,-112,21,15.53
55,31,11.72,-114,53,0.26
55,16,1.3,-115,22,41.47
55,29,59.08,-116,44,9.49
55,46,31.08,-117,50,23.14
55,50,24.17,-118,28,47.75
55,8,23.86,-119,13,38.29
56,15,19.43,-111,39,55.78
56,16,8.02,-115,5,15.86
56,21,41.14,-116,59,3.56
56,17,38.33,-117,48,55.02
56,32,15.26,-118,43,6.08
56,12,1.39,-119,49,17.42
59,58,2.48,-111,50,27.28
59,8,8.04,-112,15,35.74
50,58,27.82,-115,3,17.15
49,16,23.33,-110,42,20.14
49,35,16,-111,41,43.92
49,37,54.8,-112,9,8.36
49,46,58.75,-113,6,39.21
49,4,54.39,-113,54,39.68
50,1,25.32,-110,6,35.71
50,48,58.25,-111,6,16.9
50,23,22.18,-112,1,54.72
50,25,53.31,-113,49,28.5
50,33,14.6,-114,5,23.53
51,27,55.99,-111,23,19.27
51,35,45.85,-111,15,51.55
51,47,19.9,-112,5,18.24
51,34,7.69,-113,55,54.49
51,33,47.88,-114,11,48.03
51,35,19.67,-115,22,31.03
52,56,29.2,-110,31,54.54
52,54,47.51,-111,53,8.81
52,2,19.93,-112,38,26.5
52,43,44.22,-113,53,44.8
52,26,32.94,-114,21,43.6
52,4,27,-115,48,15.05
52,30,27.21,-117,30,57.38
53,16,58.33,-110,37,44.47
53,5,51.15,-111,47,52.57
53,6,39.9,-112,7,0.14
53,7,45.19,-113,7,2.22
53,22,31.87,-114,49,40.91
53,46,7.12,-115,36,20.22
54,11,26.45,-110,15,50.64
54,48,57.49,-111,59,5.95
54,26,7.96,-112,49,59.32
53,4,59.19,-113,44,41.36
54,45,47.01,-115,31,18.6
55,54,35.15,-113,43,47.03
55,32,46.99,-116,46,52.94
55,5,26.91,-117,20,23.73
55,42,43.41,-118,23,43.96
55,19,28.77,-119,36,42.08
